fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00954,0.01012,0.937,0.00043,2.64534,0.78786,9.25998,0.52333,1.36051,0.01696,0.7,0.30366,0.0,0.12813,0.41894,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00935,0.00975,0.94728,0.00042,2.50205,0.78786,9.69348,0.52333,1.38264,0.01696,0.75172,0.30233,0.0,0.12657,0.39594,0.0,0.0,0.0,0.49551,0.0,0.90644,0.0,0.0
0.0,0.00836,0.00722,0.958,0.00042,1.95765,0.78786,9.69348,0.52333,1.38264,0.01216,0.75172,0.35573,0.0,0.12656,0.34943,0.0,0.0,0.0,0.53369,0.0,0.89903,0.0,0.0
0.0,0.00871,0.00945,0.87194,0.00041,1.88642,0.78786,5.72274,0.37091,0.98129,0.02016,0.79578,0.24042,0.0,0.1488,0.34452,0.0,0.0,0.0,0.63981,0.0,1.0,0.0,0.0
0.0,0.00897,0.01028,0.94583,0.00042,2.86782,0.83935,9.85559,0.63198,1.25752,0.01659,0.73658,0.30366,0.0,0.12553,0.49193,0.0,0.0,0.0,0.57194,0.0,1.0,0.0,0.0
0.0,0.00833,0.0085,0.94728,0.00042,2.78357,0.78733,9.69348,0.57187,1.50874,0.0162,0.71357,0.30621,0.0,0.12657,0.40806,0.0,0.0,0.0,0.58542,0.0,0.90644,0.0,0.0
0.0,0.00954,0.00873,0.93211,0.00046,3.06864,0.95,10.47728,0.62254,1.31608,0.01458,0.67771,0.21941,0.0,0.09,0.41894,0.0,0.0,0.0,0.46075,0.0,1.0,0.0,0.0
0.0,0.00937,0.01035,0.96109,0.00041,2.60331,0.8809,9.42647,0.57717,1.33245,0.01457,0.80219,0.3214,0.0,0.12657,0.3805,0.0,0.0,0.0,0.51428,0.0,0.86938,0.0,0.0
0.0,0.00697,0.00975,0.92402,0.0003,3.12478,0.78786,9.93836,0.52708,1.30883,0.02046,0.9,0.24298,0.0,0.13133,0.43334,0.0,0.0,0.0,0.56881,0.0,1.0,0.0,0.0
0.0,0.008,0.00887,0.94728,0.00042,2.50205,0.78786,9.69348,0.46931,1.31355,0.01523,0.73041,0.30233,0.0,0.13645,0.36666,0.0,0.0,0.0,0.54814,0.0,0.90149,0.0,0.0
